order,ftol,maxiter,error_mean,error_std,time_mean,time_std
60,0.1,100,0.1389971071701204,0.031185723170881936,0.19575843095663004,0.0020238429294096557
60,0.1,300,0.1389971071701204,0.031185723170881936,0.19687273612362333,0.0025459432022731476
60,0.1,500,0.1389971071701204,0.031185723170881936,0.1964067944306104,0.004832983022036338
60,0.01,100,0.009904668653884898,0.0031543097112374102,0.3922838569560554,0.03005186779000399
60,0.01,300,0.009904668653884898,0.0031543097112374102,0.3883604585522941,0.02522499321914229
60,0.01,500,0.009904668653884898,0.0031543097112374102,0.3872152492112946,0.023356946664978784
60,1e-05,100,0.0043756302994997,0.002680299735446353,1.6442030891194008,0.6144532212370221
60,1e-05,300,0.0043756302994997,0.002680299735446353,1.6429820444609504,0.6143191374258956
60,1e-05,500,0.0043756302994997,0.002680299735446353,1.6447376171320987,0.6141752841597315
80,0.1,100,0.13862722282057058,0.03121380635488731,0.34363717276331346,0.0022662434956915675
80,0.1,300,0.13862722282057058,0.03121380635488731,0.3437243385221033,0.00318265530879467
80,0.1,500,0.13862722282057058,0.03121380635488731,0.3433541950556294,0.0016173750239183596
80,0.01,100,0.009434542750792968,0.003161945615977722,0.6821007623899883,0.042516654190048075
80,0.01,300,0.009434542750792968,0.003161945615977722,0.6816150007944088,0.04267530470540433
80,0.01,500,0.009434542750792968,0.003161945615977722,0.6837239166003807,0.04285414903715048
80,1e-05,100,0.004090657399988182,0.0026380518355186445,2.640808319595332,0.9428336170441669
80,1e-05,300,0.004090657399988182,0.0026380518355186445,2.6406793928375314,0.9413067238697835
80,1e-05,500,0.004090657399988182,0.0026380518355186445,2.631943825952476,0.9337757936504881
